Fecha,Hidraulica,Turbinacion bombeo,Nuclear,Carbon,Motores diesel,Turbina de gas,Turbina de vapor,Ciclo combinado,Eolica,Solar fotovoltaica,Solar termica,Otras renovables,Cogeneracion,Residuos no renovables,Residuos renovables,Generacion total
21/10/2015,43.538149,6.685564,130.472599,141.95285099999998,8.573462,2.2276529999999997,5.28185,84.76332099999999,196.42676500000002,21.638308000000002,10.409146,9.175718999999999,72.920284,7.54395,2.231326,743.840947
22/10/2015,47.081684,7.262392,142.129712,154.060971,8.880044,2.02617,5.288289,82.936041,142.942905,24.860782,16.924163,9.341207,73.363824,7.5816194999999995,2.3942115,727.074015
23/10/2015,81.16697,13.145697,142.789986,175.28588,8.898845999999999,2.011727,5.105905,92.638453,53.350173999999996,17.151654999999998,2.2471819999999996,10.35176,75.292746,7.8598295,2.5914685,689.888279
24/10/2015,56.661491999999996,8.535001,142.96556,165.305515,8.726792999999999,2.173653,4.240102,72.8315,58.943413,8.991492000000001,0.2204,10.050863,69.054151,7.7703225,2.4867655,618.9570230000002
25/10/2015,34.909936,5.661194999999999,148.488796,137.966586,8.632145000000001,1.744666,3.685319,70.937876,90.431757,13.905186,2.97565,10.020496999999999,68.33086999999999,8.147122999999999,2.634818,608.4724199999999
26/10/2015,45.882678999999996,8.958141,142.209792,145.884282,8.778827,2.383668,5.216376,89.750515,126.04201300000001,9.151712,0.9761299999999999,9.775229,70.70514,7.545292000000001,2.458893,675.718689
27/10/2015,42.39087,12.353526,141.954935,135.197338,8.347813,2.742511,5.241378,74.09395699999999,181.98059400000002,14.125879999999999,3.214214,9.515713,71.047091,7.699109,2.477095,712.382024
28/10/2015,43.248091,7.133256,142.052048,128.265681,8.365656999999999,2.524385,5.199529,71.025047,239.261462,15.181237,2.2766889999999997,9.063809,72.083383,7.4642525,2.3604505,755.5049769999999
29/10/2015,55.111081,14.124464,142.035944,141.155608,8.821121999999999,2.233733,5.256005,95.81602099999999,139.700658,19.488849,10.35409,8.748481,73.244468,7.4915975,2.3735475,725.955669
30/10/2015,55.159508,5.507938,135.715568,117.811258,8.677832,2.06146,5.269532,65.743739,160.512767,21.234437000000003,10.526815000000001,10.507884,72.047033,7.4242704999999996,2.3567765,680.5568180000001
31/10/2015,47.941949,13.582342,119.694224,120.09862,8.276072000000001,1.649269,3.624188,64.559051,142.890223,14.168174,2.5718449999999997,10.399516,67.833745,7.5127235,2.3964395,627.198381
01/11/2015,31.585149,8.464971,120.070096,54.119794999999996,7.786957,1.4984169999999999,3.224281,59.328271,232.13967000000002,13.427279,2.2927150000000003,10.251402,62.315554,7.569221,2.5862469999999997,616.660025
02/11/2015,53.047826,10.702364,120.316374,111.687937,8.099920000000001,1.75144,3.326116,78.420632,211.37994,6.860665,0.30101999999999995,10.487248,68.67049,7.763520499999999,2.6006194999999996,695.4161120000001
03/11/2015,55.457063999999995,10.88828,120.149872,146.266253,8.340459999999998,2.101534,4.516316,80.64459699999999,200.513179,11.113081,0.79557,10.600496,70.601158,7.6282615,2.6503785,732.2665
04/11/2015,66.014291,10.517064,120.263148,173.003568,8.261625,2.289593,5.023706,86.617447,113.919706,13.928522000000001,1.683312,10.571041,73.216345,7.4632775,2.6862685,695.4589140000002
05/11/2015,69.206705,8.621163000000001,120.187937,165.129454,8.313493000000001,2.0418279999999998,5.057783000000001,80.306829,128.73161,15.1681,3.2651179999999997,10.699371999999999,72.648326,7.5983095,2.6313785,699.6074060000001
06/11/2015,73.9797,3.93606,120.198038,169.24947,8.195789000000001,1.888906,5.10037,78.32800900000001,91.683428,21.538823,12.284629,10.917894,73.62984900000001,7.773327,2.5995019999999998,681.303794
07/11/2015,56.583836000000005,2.318492,120.157934,142.943768,8.243844999999999,1.87831,4.081938,58.216044000000004,89.004619,21.951458,12.880936,10.828012000000001,68.289989,7.8089735000000005,2.5889005000000003,607.7770549999999
08/11/2015,42.16416,13.816678,120.114882,79.824924,7.765209,1.7726300000000001,3.4082179999999997,65.664164,137.03204,20.624854,11.785585,10.311901,61.021415,7.203639,2.570893,585.0811919999999
09/11/2015,82.970724,6.492738,120.094543,182.17986199999999,8.391424,1.8680029999999999,5.860403,95.087255,36.619767,21.063302,11.288770000000001,10.766825999999998,72.298664,7.323302,2.351627,664.6572100000001
10/11/2015,86.674351,6.557832,119.98772500000001,196.461323,8.530608,2.032026,5.662481,105.527233,30.682499,20.939484,11.675578,10.693848,73.192834,7.237953,2.2667800000000002,688.1225549999999
11/11/2015,90.895777,9.584946,120.247771,193.93279,8.551841,2.20235,5.835787,109.318315,17.906573,19.93183,11.893493000000001,10.659049000000001,74.09428999999999,7.146935999999999,2.48301,684.6847580000001
12/11/2015,88.738759,7.282792000000001,120.14576,193.400033,8.555166,2.955779,6.234227,113.11801200000001,27.83588,18.48736,10.413851000000001,10.628463,74.531451,7.2427225,2.6562655,692.2265209999999
13/11/2015,77.133126,4.8020190000000005,120.177678,196.00836900000002,8.517135,2.227776,6.530951,74.303185,61.367387,18.27663,10.118138,10.66527,74.39734299999999,7.264783,2.5432669999999997,674.3330569999999
14/11/2015,51.464641,3.904565,121.252988,168.089824,8.577986000000001,2.290121,5.71621,64.18019,64.185644,18.383229,9.789807000000001,10.876107,67.08617699999999,7.4443684999999995,2.5414214999999998,605.783279
15/11/2015,53.435068,7.001352,126.902248,154.542291,8.396486000000001,1.552121,5.224388,67.7727,42.756816,17.729225999999997,9.445101000000001,10.758108,65.371458,7.447876,2.5390390000000003,580.8742779999999
16/11/2015,79.112292,3.642827,131.799345,181.50591500000002,8.596985,2.9333159999999996,5.959738000000001,94.64613800000001,60.136279,18.402248,8.060751,10.415044,72.896018,7.273156,2.548095,687.928147
17/11/2015,75.051477,5.963387,135.53491699999998,186.17473999999999,8.34495,2.731004,5.7750010000000005,96.626974,81.682171,18.192597000000003,7.15525,10.125103999999999,74.903291,7.073602,2.577372,717.9118369999999
18/11/2015,80.65692,16.815466,142.147931,189.553163,8.593718,2.791413,5.816611,101.52781399999999,50.242923000000005,18.103897,8.615817999999999,9.73714,74.63832000000001,7.335536,2.583928,719.160598
19/11/2015,72.538709,13.180903,146.001705,188.720631,8.790566,2.222438,5.732746,102.48836299999999,59.860475,18.632481,7.12654,9.894939,74.59710000000001,7.45979,2.581673,719.8290590000001
20/11/2015,45.19476,6.850468,145.391978,144.763574,8.53184,2.334679,5.619765999999999,58.520317999999996,180.044544,17.356841,5.427451,9.620034,74.02526399999999,7.351376,2.492992,713.525885
21/11/2015,32.055142,16.976376000000002,144.15125,34.217419,8.260958,1.8981320000000002,4.75056,38.175908,344.09499,12.87089,2.03576,8.695227999999998,59.625079,7.024725999999999,2.4751030000000003,717.3075210000001
22/11/2015,44.412595,9.922665,146.371461,46.778127,7.667483,1.740424,4.300808,57.525837,190.57950200000002,15.726310999999999,5.046171,8.837375,62.117051,7.3534975000000005,2.3644285,610.743736
