fecha,indicativo,nombre,provincia,prec,velmedia,sol,longitud,latitud
09/2017,3260B,TOLEDO,TOLEDO,0.0,2.643333333333333,10.956666666666667,-4.045277777777778,39.88472222222222
09/2017,3266A,PUERTO ALTO DEL LEÓN,MADRID,50.9,4.56,,-4.141944444444444,40.70638888888889
09/2017,3298X,SAN PABLO DE LOS MONTES,TOLEDO,0.0,1.5275862068965516,,-4.350555555555555,39.54694444444444
09/2017,3338,ROBLEDO DE CHAVELA,MADRID,0.0,,,-4.25,40.42777777777778
09/2017,3365A,TALAVERA DE LA REINA,TOLEDO,0.0,,,-4.863611111111111,39.95861111111111
09/2017,3391,SOTILLO DE LA ADRADA,AVILA,0.0,1.6666666666666667,,-4.590833333333333,40.28861111111111
09/2017,3434X,NAVALMORAL DE LA MATA,CACERES,0.0,2.02,9.903333333333334,-5.5825,39.94583333333333
09/2017,3463X,TRUJILLO,CACERES,0.0,2.2448275862068963,,-5.854166666666666,39.4825
09/2017,3469A,CÁCERES,CACERES,0.0,2.496666666666667,11.233333333333333,-6.338888888888889,39.47138888888889
09/2017,3519X,PLASENCIA,CACERES,0.1,1.6035714285714284,,-6.085833333333333,40.043055555555554
09/2017,3526X,CORIA,CACERES,0.0,2.372413793103448,11.216666666666667,-6.5575,40.00361111111111
09/2017,3576X,VALENCIA DE ALCÁNTARA,CACERES,0.0,2.962962962962963,,-7.231111111111111,39.414722222222224
09/2017,4061X,QUINTANAR DE LA ORDEN,TOLEDO,0.0,1.3733333333333335,,-3.0483333333333333,39.59722222222222
09/2017,4067,MADRIDEJOS,TOLEDO,0.0,2.408333333333333,10.979310344827585,-3.5283333333333333,39.49194444444444
09/2017,4090Y,SAN CLEMENTE,CUENCA,0.2,3.4250000000000003,,-2.4205555555555556,39.416666666666664
09/2017,4103X,TOMELLOSO,CIUDAD REAL,0.0,2.2133333333333334,10.1,-3.0075,39.16916666666666
09/2017,4121,CIUDAD REAL,CIUDAD REAL,0.0,1.7833333333333334,11.046666666666665,-3.9202777777777778,38.98916666666667
09/2017,4147X,VALDEPEÑAS,CIUDAD REAL,0.0,1.4466666666666665,8.803448275862069,-3.391388888888889,38.75055555555556
09/2017,4148,VISO DEL MARQUÉS,CIUDAD REAL,0.0,2.3733333333333335,,-3.5666666666666664,38.518055555555556
09/2017,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,0.1,1.3533333333333333,,-4.621944444444445,39.08361111111111
09/2017,4244X,HERRERA DEL DUQUE,BADAJOZ,0.0,2.032,10.207142857142857,-5.062222222222222,39.169444444444444
09/2017,4267X,HINOJOSA DEL DUQUE,CORDOBA,0.0,2.6869565217391305,,-5.1211111111111105,38.49861111111111
09/2017,4358X,DON BENITO,BADAJOZ,0.0,1.7433333333333332,10.3,-5.880555555555556,38.955555555555556
09/2017,4386B,LLERENA,BADAJOZ,0.0,3.5366666666666666,10.393333333333334,-6.016944444444444,38.23166666666667
09/2017,4410X,MÉRIDA,BADAJOZ,0.0,1.8433333333333333,,-6.385555555555556,38.91583333333333
